"dateAndTime","name","eventCode"
"2019-05-01 08:46:59","kettle",0
"2019-05-01 08:48:52","kettle",1
"2019-05-01 10:07:52","cup",1
"2019-05-01 10:07:53","cup",0
"2019-05-01 10:12:54","cup",1
"2019-05-01 10:12:55","cup",0
"2019-05-01 10:14:33","cup",1
"2019-05-01 10:16:10","kettle",0
"2019-05-01 10:16:11","kettle",1
"2019-05-01 10:16:36","cupboard5",1
"2019-05-01 10:16:38","cupboard4",1
"2019-05-01 10:18:47","cupboard2",1
"2019-05-01 10:18:50","cupboard3",1
"2019-05-01 10:22:20","cupboard5",0
"2019-05-01 10:22:22","cupboard3",0
"2019-05-01 10:22:25","cupboard2",0
"2019-05-01 10:22:33","kettle",0
"2019-05-01 10:22:49","door",0
"2019-05-01 10:24:37","door",1
"2019-05-01 10:24:50","door",0
"2019-05-01 10:25:36","door",1
"2019-05-01 10:36:08","door",0
"2019-05-01 10:37:05","door",1
"2019-05-01 10:37:08","door",0
"2019-05-01 10:37:16","cupboard4",0
"2019-05-01 10:37:44","cupboard3",1
"2019-05-01 10:38:16","cupboard3",0
"2019-05-01 10:38:34","kettle",1
"2019-05-01 10:49:08","door",1
"2019-05-01 10:49:11","door",0
"2019-05-01 10:50:54","door",1
"2019-05-01 10:53:11","cupboard4",1
"2019-05-01 10:53:14","cupboard5",1
"2019-05-01 10:53:18","cupboard3",1
"2019-05-01 10:53:21","cupboard2",1
"2019-05-01 10:53:34","cupboard2",0
"2019-05-01 10:53:36","cupboard3",0
"2019-05-01 10:56:13","cupboard4",0
"2019-05-01 10:56:24","kettle",0
"2019-05-01 10:58:45","door",0
"2019-05-01 10:59:03","door",1
"2019-05-01 10:59:06","door",0
"2019-05-01 10:59:23","cupboard4",1
"2019-05-01 10:59:28","cupboard4",0
"2019-05-01 10:59:33","cupboard2",1
"2019-05-01 10:59:38","cupboard2",0
"2019-05-01 11:00:03","cupboard2",1
"2019-05-01 11:00:08","cupboard2",0
"2019-05-01 11:00:15","kettle",1
"2019-05-01 11:00:29","kettle",0
"2019-05-01 11:07:35","door",1
"2019-05-01 11:07:39","door",0
"2019-05-01 11:17:06","door",1
"2019-05-01 11:17:50","kettle",1
"2019-05-01 11:17:51","kettle",0
"2019-05-01 11:17:52","kettle",1
"2019-05-01 11:17:53","kettle",0
"2019-05-01 11:17:55","kettle",1
"2019-05-01 11:17:56","kettle",0
"2019-05-01 11:18:10","cupboard3",1
"2019-05-01 11:18:13","cupboard2",1
"2019-05-01 11:18:21","cupboard4",1
"2019-05-01 11:18:40","cupboard5",0
"2019-05-01 11:18:44","cupboard4",0
"2019-05-01 11:20:07","cupboard4",1
"2019-05-01 11:20:38","cupboard2",0
"2019-05-01 11:22:51","cupboard4",0
"2019-05-01 11:22:55","cupboard3",0
"2019-05-01 11:25:36","door",0
"2019-05-01 11:26:49","door",1
"2019-05-01 11:26:53","door",0
"2019-05-01 11:26:58","cupboard4",1
"2019-05-01 11:27:02","cupboard4",0
"2019-05-01 11:27:09","kettle",1
"2019-05-01 11:27:12","kettle",0
"2019-05-01 11:27:13","kettle",1
"2019-05-01 11:27:14","kettle",0
"2019-05-01 11:27:31","kettle",1
"2019-05-01 11:27:32","kettle",0
"2019-05-01 11:27:54","cupboard2",1
"2019-05-01 11:28:17","cupboard2",0
"2019-05-01 11:28:36","kettle",1
"2019-05-01 11:28:46","kettle",0
"2019-05-01 11:35:59","door",1
"2019-05-01 11:36:05","door",0
"2019-05-01 11:39:16","door",1
"2019-05-01 11:42:27","door",0
"2019-05-01 11:44:10","door",1
"2019-05-01 11:44:12","door",0
"2019-05-01 11:44:18","cupboard4",1
"2019-05-01 11:44:22","cupboard4",0
"2019-05-01 11:44:30","kettle",1
"2019-05-01 11:44:46","kettle",0
"2019-05-01 11:44:50","cupboard3",1
"2019-05-01 11:45:10","cupboard3",0
"2019-05-01 11:45:40","kettle",1
"2019-05-01 11:45:51","kettle",0
"2019-05-01 11:51:32","door",1
"2019-05-01 11:51:36","door",0
"2019-05-01 11:54:52","door",1
"2019-05-01 12:11:18","kettle",1
"2019-05-01 12:15:44","cupboard2",1
"2019-05-01 12:15:57","cupboard2",0
"2019-05-01 12:17:01","door",0
"2019-05-01 13:01:06","door",1
"2019-05-01 13:18:38","cupboard4",1
"2019-05-01 13:18:42","cupboard4",0
"2019-05-01 13:19:47","cupboard3",1
"2019-05-01 13:19:50","cupboard2",1
"2019-05-01 13:20:05","kettle",0
"2019-05-01 13:20:13","cupboard2",0
"2019-05-01 13:20:16","cupboard4",1
"2019-05-01 13:20:17","cupboard5",1
"2019-05-01 13:21:00","cupboard4",0
"2019-05-01 13:21:03","cupboard5",0
"2019-05-01 13:21:50","door",0
"2019-05-01 13:23:56","door",1
"2019-05-01 13:23:59","door",0
"2019-05-01 13:24:08","cupboard4",1
"2019-05-01 13:24:13","cupboard4",0
"2019-05-01 13:24:29","cupboard2",1
"2019-05-01 13:24:33","cupboard2",0
"2019-05-01 13:24:39","cupboard2",1
"2019-05-01 13:24:42","cupboard2",0
"2019-05-01 13:25:18","kettle",1
"2019-05-01 13:25:36","kettle",0
"2019-05-01 13:38:59","door",1
"2019-05-01 13:39:03","door",0
"2019-05-01 13:41:14","door",1
"2019-05-01 13:43:52","cupboard4",1
"2019-05-01 13:43:56","cupboard4",0
"2019-05-01 13:52:10","door",0
"2019-05-01 13:53:32","door",1
"2019-05-01 13:53:36","door",0
"2019-05-01 13:53:42","cupboard4",1
"2019-05-01 13:53:47","cupboard4",0
"2019-05-01 13:54:14","cupboard2",1
"2019-05-01 13:54:16","cupboard3",0
"2019-05-01 13:54:24","cupboard2",0
"2019-05-01 13:54:29","kettle",1
"2019-05-01 14:00:05","door",1
"2019-05-01 14:00:10","door",0
"2019-05-01 14:05:02","door",1
"2019-05-01 14:06:35","cupboard4",1
"2019-05-01 14:06:40","cupboard4",0
"2019-05-01 14:06:49","door",0
"2019-05-01 14:15:52","door",1
"2019-05-01 14:15:56","door",0
"2019-05-01 14:15:59","kettle",0
"2019-05-01 14:16:04","kettle",1
"2019-05-01 14:16:07","kettle",0
"2019-05-01 14:16:25","cupboard4",1
"2019-05-01 14:16:29","cupboard4",0
"2019-05-01 14:16:42","cupboard3",1
"2019-05-01 14:16:46","cupboard3",0
"2019-05-01 14:16:51","cupboard2",1
"2019-05-01 14:16:55","cupboard2",0
"2019-05-01 14:16:58","kettle",1
"2019-05-01 14:17:05","kettle",0
"2019-05-01 14:17:28","cupboard2",1
"2019-05-01 14:17:32","cupboard2",0
"2019-05-01 14:18:01","cupboard5",1
"2019-05-01 14:18:22","cupboard5",0
"2019-05-01 14:24:15","door",1
"2019-05-01 14:24:18","door",0
"2019-05-01 14:26:02","door",1
"2019-05-01 14:26:46","cupboard5",1
"2019-05-01 14:26:49","cupboard5",0
"2019-05-01 14:28:01","cupboard4",1
"2019-05-01 14:28:06","cupboard4",0
"2019-05-01 14:29:11","cupboard3",1
"2019-05-01 14:29:14","cupboard2",1
"2019-05-01 14:29:16","cupboard3",0
"2019-05-01 14:29:19","cupboard4",1
"2019-05-01 14:29:21","cupboard5",1
"2019-05-01 14:29:58","cupboard4",0
"2019-05-01 14:30:09","cupboard2",0
"2019-05-01 14:37:32","door",0
"2019-05-01 14:39:23","door",1
"2019-05-01 14:39:26","door",0
"2019-05-01 14:39:43","cupboard4",1
"2019-05-01 14:39:48","cupboard4",0
"2019-05-01 14:39:51","cupboard2",1
"2019-05-01 14:39:58","cupboard2",0
"2019-05-01 14:40:17","kettle",1
"2019-05-01 14:40:30","kettle",0
"2019-05-01 14:42:14","door",1
"2019-05-01 14:42:18","door",0
"2019-05-01 14:46:07","door",1
"2019-05-01 15:34:24","kettle",1
"2019-05-01 16:00:46","kettle",0
"2019-05-01 16:00:51","kettle",0
"2019-05-01 16:00:51","kettle",1
"2019-05-01 16:00:52","kettle",1
"2019-05-01 16:00:53","kettle",0
"2019-05-01 16:00:54","kettle",1
"2019-05-01 16:00:57","kettle",0
"2019-05-01 16:05:28","cupboard2",1
"2019-05-01 16:05:35","cupboard4",1
"2019-05-01 16:05:54","cupboard4",0
"2019-05-01 16:05:57","cupboard5",0
"2019-05-01 16:05:58","cupboard2",0
"2019-05-01 16:09:19","door",0
"2019-05-01 16:09:35","door",1
"2019-05-01 16:09:39","door",0
"2019-05-01 16:10:03","cupboard4",1
"2019-05-01 16:10:06","cupboard4",0
"2019-05-01 16:10:11","cupboard2",1
"2019-05-01 16:10:23","cupboard2",0
"2019-05-01 16:11:01","kettle",1
"2019-05-01 16:11:10","kettle",0
"2019-05-01 16:16:17","door",1
"2019-05-01 16:16:21","door",0
"2019-05-01 16:21:57","door",1
"2019-05-08 09:10:29","kettle",0
"2019-05-08 09:14:29","kettle",1
"2019-05-08 09:49:59","door",0
"2019-05-08 09:53:28","door",1
"2019-05-08 10:37:27","door",0
"2019-05-08 10:40:02","door",1
"2019-05-08 10:43:35","cupboard4",1
"2019-05-08 10:45:47","cup",0
"2019-05-08 10:45:53","cup",1
"2019-05-08 10:45:57","cup",0
"2019-05-08 10:46:05","cup",1
"2019-05-08 10:46:22","cup",0
"2019-05-08 10:46:24","cup",1
"2019-05-08 10:46:29","cup",0
"2019-05-08 10:46:32","cupboard4",0
"2019-05-08 10:47:12","cupboard5",1
"2019-05-08 10:47:14","cupboard4",1
"2019-05-08 10:47:15","cupboard4",0
"2019-05-08 10:47:19","cupboard3",1
"2019-05-08 10:47:25","cupboard3",0
"2019-05-08 10:49:46","cupboard3",1
"2019-05-08 10:49:50","cupboard2",1
"2019-05-08 10:49:51","cupboard2",0
"2019-05-08 10:50:13","cupboard3",0
"2019-05-08 10:57:21","cupboard4",1
"2019-05-08 10:57:26","cup",1
"2019-05-08 10:57:34","cup",0
"2019-05-08 10:57:37","cup",1
"2019-05-08 10:57:40","cup",0
"2019-05-08 10:57:44","cup",1
"2019-05-08 10:57:46","cup",0
"2019-05-08 10:57:55","cup",1
"2019-05-08 10:57:56","cup",1
"2019-05-08 10:57:56","cup",0
"2019-05-08 10:57:57","cup",0
"2019-05-08 10:58:00","cupboard4",0
"2019-05-08 10:58:02","cupboard5",0
"2019-05-08 10:58:05","cupboard3",1
"2019-05-08 10:58:06","cupboard3",0
"2019-05-08 10:58:11","kettle",0
"2019-05-08 11:00:46","door",0
"2019-05-08 11:01:08","door",1
"2019-05-08 11:01:12","door",0
"2019-05-08 11:01:20","cupboard4",1
"2019-05-08 11:01:23","cup",1
"2019-05-08 11:01:25","cupboard4",0
"2019-05-08 11:01:28","cup",0
"2019-05-08 11:01:34","cupboard3",1
"2019-05-08 11:01:37","cupboard3",0
"2019-05-08 11:01:39","cupboard2",1
"2019-05-08 11:01:48","cupboard2",0
"2019-05-08 11:01:58","cupboard5",1
"2019-05-08 11:02:00","cupboard4",1
"2019-05-08 11:02:04","cupboard4",0
"2019-05-08 11:02:09","cupboard5",0
"2019-05-08 11:02:19","cupboard3",1
"2019-05-08 11:02:22","cupboard2",0
"2019-05-08 11:02:22","cupboard2",1
"2019-05-08 11:02:26","kettle",1
"2019-05-08 11:02:37","kettle",0
"2019-05-08 11:03:21","cup",1
"2019-05-08 11:03:25","cup",0
"2019-05-08 11:03:53","cup",1
"2019-05-08 11:03:59","cup",0
"2019-05-08 11:04:19","cup",1
"2019-05-08 11:04:30","cup",0
"2019-05-08 11:04:59","cup",1
"2019-05-08 11:05:04","cup",0
"2019-05-08 11:05:37","cup",1
"2019-05-08 11:05:42","cup",0
"2019-05-08 11:06:31","cup",1
"2019-05-08 11:06:35","cup",0
"2019-05-08 11:07:37","cup",1
"2019-05-08 11:07:41","cup",0
"2019-05-08 11:08:13","cup",1
"2019-05-08 11:08:19","cup",0
"2019-05-08 11:09:04","cup",1
"2019-05-08 11:09:08","cup",0
"2019-05-08 11:09:50","cup",1
"2019-05-08 11:09:54","cup",0
"2019-05-08 11:11:20","cup",1
"2019-05-08 11:11:25","cup",0
"2019-05-08 11:11:36","cup",1
"2019-05-08 11:11:39","cup",0
"2019-05-08 11:11:44","door",1
"2019-05-08 11:11:47","door",0
"2019-05-08 11:15:18","door",1
"2019-05-08 11:15:24","cup",1
"2019-05-08 11:15:36","kettle",1
"2019-05-08 11:15:45","cup",0
"2019-05-08 11:15:50","cup",1
"2019-05-08 11:16:00","cup",0
"2019-05-08 11:16:01","cup",1
"2019-05-08 11:16:07","cup",0
"2019-05-08 11:16:11","cup",1
"2019-05-08 11:16:13","cup",0
"2019-05-08 11:16:19","cup",1
"2019-05-08 11:16:21","cupboard4",1
"2019-05-08 11:16:25","cup",0
"2019-05-08 11:16:28","cupboard4",0
"2019-05-08 11:16:41","door",0
"2019-05-08 11:21:15","door",1
"2019-05-08 11:21:27","cupboard2",1
"2019-05-08 11:21:27","kettle",0
"2019-05-08 11:21:34","cupboard3",0
"2019-05-08 11:21:36","cupboard4",1
"2019-05-08 11:21:40","cupboard5",1
"2019-05-08 11:21:42","cupboard5",0
"2019-05-08 11:21:48","cup",1
"2019-05-08 11:21:52","cup",0
"2019-05-08 11:21:53","cup",1
"2019-05-08 11:21:56","cup",0
"2019-05-08 11:22:02","cup",1
"2019-05-08 11:22:02","cup",0
"2019-05-08 11:22:02","cup",1
"2019-05-08 11:22:03","cup",0
"2019-05-08 11:22:05","cupboard4",0
"2019-05-08 11:22:22","door",0
"2019-05-08 11:24:10","door",1
"2019-05-08 11:24:13","door",0
"2019-05-08 11:24:18","cupboard4",1
"2019-05-08 11:24:21","cupboard4",0
"2019-05-08 11:24:29","cupboard2",0
"2019-05-08 11:24:35","cupboard2",1
"2019-05-08 11:24:38","cupboard2",0
"2019-05-08 11:24:59","kettle",1
"2019-05-08 11:25:09","kettle",0
"2019-05-08 11:25:19","cup",1
"2019-05-08 11:25:23","cup",0
"2019-05-08 11:25:29","cup",1
"2019-05-08 11:25:33","cup",0
"2019-05-08 11:25:46","cup",1
"2019-05-08 11:25:50","cup",0
"2019-05-08 11:26:03","cup",1
"2019-05-08 11:26:07","cup",0
"2019-05-08 11:26:29","cup",1
"2019-05-08 11:26:33","cup",0
"2019-05-08 11:26:47","cup",1
"2019-05-08 11:26:51","cup",0
"2019-05-08 11:27:19","cup",1
"2019-05-08 11:27:25","cup",0
"2019-05-08 11:27:44","cup",1
"2019-05-08 11:27:49","cup",0
"2019-05-08 11:28:11","cup",1
"2019-05-08 11:28:14","cup",0
"2019-05-08 11:28:34","cup",1
"2019-05-08 11:28:38","cup",0
"2019-05-08 11:28:56","cup",1
"2019-05-08 11:28:59","cup",0
